Practice,Sediment,TDS,TandDMetals,P,Nit,OG,Bacteria,Organics,TN,ThirdPartyLab,ThirdPartyField,IDB,RefJournal,VendorData,doc
Racks and Screen Devices,Yes,H,L,Yes,M,H,No,L,H,F,F,T,T,T,"""InfoSheet.pdf"""
Skimmers and Booms,Yes,L,M,No,H,H,Yes,H,H,T,T,F,T,F,"""InfoSheet.pdf"""
Initial Settling Basins,No,H,L,No,M,H,Yes,L,H,F,T,T,T,F,"""InfoSheet.pdf"""
Infiltration devices,No,L,M,Yes,H,H,No,H,H,F,T,F,T,F,"""InfoSheet.pdf"""
Hydrodynamic Devices,Yes,L,M,Yes,M,H,No,H,M,F,F,T,F,F,"""InfoSheet.pdf"""
Tanks and Vaults,Yes,L,M,Yes,H,H,Yes,H,H,T,T,F,T,T,"""InfoSheet.pdf"""
Oil-Water Separators,No,H,L,No,M,H,Yes,L,H,F,T,F,F,T,"""InfoSheet.pdf"""
Media Filters,No,L,M,No,H,H,Yes,H,H,T,F,T,T,T,"""InfoSheet.pdf"""
Biofilters/bioretention,Yes,L,M,Yes,M,H,No,H,M,F,T,F,T,F,"""InfoSheet.pdf"""
Sedimentation Basin,Yes,L,M,Yes,M,H,No,H,M,F,F,T,F,T,"""InfoSheet.pdf"""
Wet Ponds,No,H,L,Yes,M,H,Yes,L,H,T,T,F,T,F,"""InfoSheet.pdf"""
Constructed wetlands,No,L,M,No,H,H,Yes,H,H,T,F,T,T,F,"""InfoSheet.pdf"""
Permbeable Pavement,Yes,H,L,No,M,H,Yes,L,H,F,T,F,T,T,"""InfoSheet.pdf"""
Chemical Treatment,Yes,L,M,Yes,H,H,No,H,H,F,F,T,F,T,"""InfoSheet.pdf"""
Soils and Soil Amendments,No,L,M,Yes,M,H,No,H,M,F,T,F,F,F,"""InfoSheet.pdf"""
Vegetated Systems swales/strips,No,L,M,No,H,H,Yes,H,H,T,F,T,T,T,"""InfoSheet.pdf"""
Disinfection Systems,Yes,H,L,Yes,M,H,Yes,L,H,F,T,F,T,F,"""InfoSheet.pdf"""
